HPILSQ[HPILS1],HPILSQ[HPILS2],HPILSQ[HPILS3],HPILSQ[HPILS4],HPILSQ[HPILS5],HPILSQ[HPILS6],HPILSQ[HPILS7],HPILSQ[HPILS8],HPILSQ[HPILS9],HPILSQ[HPILS10],HPILSQ[HPILS11],HPILSQ[HPILS12],HPILSQ[HPILS13],HPILSQ[HPILS14],HPILSQ[HPILS15],HPILSQ[HPILS16],HPILSQ[HPILS17],HPILSA,HPILSB,HPILSC,HPILSD,HPILSMAX,HPILSDOM,HPILSRESULT,CommuteTime[In],CommuteTime[Out],OffCampusResps,HomeCity,HomeCity[comment],BB01,BB03,BB02,BB04,BB08,BB05,BB06,BB07,BB11,BB09,BB10,BB14,BB12,BB13,BB16,BB15,BB18,BB17,BBL,BBR,BBA,BBB,BBLR,BBQuadrant,BBAB,BBLabel,BBResults,BBDebug,DontCall,DontCallJusticiation,FS02,FS01,FS07,FS03,FS04,FS05,FS06,FS10,FS08,FS09,FS12,FS11,FS13,FS14,FS16,FS15,FS19,FS17,FS18,FS25,FS20,FS21,FS22,FS23,FS24,FS29,FS26,FS27,FS28,FS36,FS30,FS31,FS32,FS33,FS34,FS35,FS42,FS37,FS38,FS39,FS40,FS41,FS43,FS44,FSActive,FSReflective,FSSensory,FSIntuitive,FSVisual,FSVerbal,FSSequential,FSGlobal,FSActRefCalc,FSSensIntCalc,FSVisVerbCalc,FSSeqGlobCalc,FSIsActive,FSIsReflective,FSActRefStrength,FSActRefLabel,FSIsSensing,FSIsIntuitive,FSSensIntStrength,FSSensIntLabel,FSIsVisual,FSIsVerbal,FSVisVerbStrength,FSVisVerbLabel,FSIsSequential,FSIsGlobal,FSSeqGlobStrength,FSSeqGlobLabel,FSDisplayResults,DUCKAll[DUCK01],DUCKAll[DUCK02],DUCKAll[DUCK03],DUCKAll[DUCK04],DUCKAll[DUCK05],DUCKAll[DUCK06],DUCKAll[DUCK07],DUCKAll[DUCK08],DUCKAll[DUCK09],DUCKAll[DUCK10],DUCKAll[DUCK11],DUCKAll[DUCK12],DUCKRESULT,DUCKCALC,PortableTech[NONE],PortableTech[ANDROID],PortableTech[APHABLET],PortableTech[ATABLET],PortableTech[IPHONE],PortableTech[iPAD],PortableTech[SURFACE],PortableTech[CHROMEBOOK],PortableTech[WINDOWS],PortableTech[LINUX],PortableTech[MACBOOK],PortableTech[other],CommonLanguages[Arabic],CommonLanguages[Chinese],CommonLanguages[Farsi],CommonLanguages[French],CommonLanguages[German],CommonLanguages[Hindi],CommonLanguages[Japanese],CommonLanguages[Korean],CommonLanguages[Malay],CommonLanguages[Russian],CommonLanguages[Slav],CommonLanguages[Spanish],CommonLanguages[Tamil],CommonLanguages[Urdu],CommonLanguages[CustomOther],Farsi[Argue],Farsi[Chat],Farsi[Write],Farsi[Notes],Farsi[Joke],Farsi[Read],English[Argue],English[Chat],English[Write],English[Notes],English[Joke],English[Read],ArabicProficiency[Argue],ArabicProficiency[Chat],ArabicProficiency[Write],ArabicProficiency[Notes],ArabicProficiency[Joke],ArabicProficiency[Read],ChineseDialects[Dialect1],ChineseDialects[Dialect2],ChineseDialects[Dialect3],Chinese[Guan],Chinese[Wu],Chinese[Yue],Chinese[Min],Chinese[Xiang],Chinese[Hakka],Chinese[Gan],Chinese[Jin],Chinese[Other1],French[Argue],French[Chat],French[Write],French[Notes],French[Joke],French[Read],Hindi[Argue],Hindi[Chat],Hindi[Write],Hindi[Notes],Hindi[Joke],Hindi[Read],Malay[Argue],Malay[Chat],Malay[Write],Malay[Notes],Malay[Joke],Malay[Read],Japanese[Argue],Japanese[Chat],Japanese[Write],Japanese[Notes],Japanese[Joke],Japanese[Read],Korean[Argue],Korean[Chat],Korean[Write],Korean[Notes],Korean[Joke],Korean[Read],German[Argue],German[Chat],German[Write],German[Notes],German[Joke],German[Read],OtherLanguages[Other1],OtherLanguages[Other2],OtherLanguages[Other3],OtherLanguages[Other4],Slav[Argue],Slav[Chat],Slav[Write],Slav[Notes],Slav[Joke],Slav[Read],Russian[Argue],Russian[Chat],Russian[Write],Russian[Notes],Russian[Joke],Russian[Read],Tamil[Argue],Tamil[Chat],Tamil[Write],Tamil[Notes],Tamil[Joke],Tamil[Read],Spanish[Argue],Spanish[Chat],Spanish[Write],Spanish[Notes],Spanish[Joke],Spanish[Read],Urdu[Argue],Urdu[Chat],Urdu[Write],Urdu[Notes],Urdu[Joke],Urdu[Read],Guan[Argue],Guan[Chat],Guan[Write],Guan[Notes],Guan[Joke],Guan[Read],Wu[Argue],Wu[Chat],Wu[Write],Wu[Notes],Wu[Joke],Wu[Read],Yue[Argue],Yue[Chat],Yue[Write],Yue[Notes],Yue[Joke],Yue[Read],Min[Argue],Min[Chat],Min[Write],Min[Notes],Min[Joke],Min[Read],Xiang[Argue],Xiang[Chat],Xiang[Write],Xiang[Notes],Xiang[Joke],Xiang[Read],ChineseDialect3[Argue],ChineseDialect3[Chat],ChineseDialect3[Write],ChineseDialect3[Notes],ChineseDialect3[Joke],ChineseDialect3[Read],Hakka[Argue],Hakka[Chat],Hakka[Write],Hakka[Notes],Hakka[Joke],Hakka[Read],Gan[Argue],Gan[Chat],Gan[Write],Gan[Notes],Gan[Joke],Gan[Read],Jin[Argue],Jin[Chat],Jin[Write],Jin[Notes],Jin[Joke],Jin[Read],ChineseDialect1[Argue],ChineseDialect1[Chat],ChineseDialect1[Write],ChineseDialect1[Notes],ChineseDialect1[Joke],ChineseDialect1[Read],ChineseDialect2[Argue],ChineseDialect2[Chat],ChineseDialect2[Write],ChineseDialect2[Notes],ChineseDialect2[Joke],ChineseDialect2[Read],OtherLang2[Argue],OtherLang2[Chat],OtherLang2[Write],OtherLang2[Notes],OtherLang2[Joke],OtherLang2[Read],OtherLang3[Argue],OtherLang3[Chat],OtherLang3[Write],OtherLang3[Notes],OtherLang3[Joke],OtherLang3[Read],OtherLang4[Argue],OtherLang4[Chat],OtherLang4[Write],OtherLang4[Notes],OtherLang4[Joke],OtherLang4[Read],OtherLang1[Argue],OtherLang1[Chat],OtherLang1[Write],OtherLang1[Notes],OtherLang1[Joke],OtherLang1[Read],EngrMotivation,GeneralMotivations[MOST],GeneralMotivations[SECOND],GeneralMotivations[THIRD],CEABAttributes,RankBySelf[1],RankBySelf[2],RankBySelf[3],RankBySelf[4],RankBySelf[5],RankBySelf[6],RankBySelf[7],RankBySelf[8],RankBySelf[9],RankBySelf[10],RankBySelf[11],RankBySelf[12],RankByIndustry[1],RankByIndustry[2],RankByIndustry[3],RankByIndustry[4],RankByIndustry[5],RankByIndustry[6],RankByIndustry[7],RankByIndustry[8],RankByIndustry[9],RankByIndustry[10],RankByIndustry[11],RankByIndustry[12],RankByLearning[1],RankByLearning[2],RankByLearning[3],RankByLearning[4],RankByLearning[5],RankByLearning[6],RankByLearning[7],RankByLearning[8],RankByLearning[9],RankByLearning[10],RankByLearning[11],RankByLearning[12],AccessProfile,AccessBBA
S,U,U,U,U,U,U,S,U,U,U,S,U,S,S,S,S,4,6,3,4,6,Assimilator,,15,15,N,T,May return to (R)ichmond Hill on weekends.,B,A,B,A,B,A,B,B,B,A,A,A,A,A,A,B,B,A,5,4,5,4,L,LA,A,Analytical,,,N,,B,A,A,A,A,B,A,A,B,A,B,A,B,B,B,A,A,B,A,A,A,A,B,A,B,B,B,A,B,B,B,A,B,A,A,A,A,B,A,A,B,A,A,A,6,5,6,5,11,0,3,8,1,1,11,-5,,1,slightly,slightly Reflective,,1,slightly,slightly Intuitive,,1,very strongly,very strongly Verbal,,1,moderately,moderately Global,,S,M,NM,NM,NM,M,S,M,M,S,M,S,,3,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Manag,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Manag,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I often stick to an idea or interest I believe that is right and meaningful, and I make decisions and actions based on it as the motivation. In this case, I chose this undergraduate degree in Engineering because it will allow me to use my creativity to design aerial vehicles in my job, which I consider as the most beneficial combination of a hobby and a career to me and society.","Becoming an aerospace engineer, who designs planes or rockets.",Expressing my creativity in my designs and works.,Having a meaningful and happy life while benefiting the world.,,GA09,GA04,GA02,GA03,GA06,GA10,GA07,GA01,GA12,GA08,GA05,GA11,GA11,GA07,GA02,GA06,GA03,GA04,GA08,GA09,GA10,GA01,GA05,GA12,GA04,GA09,GA01,GA02,GA10,GA06,GA07,GA03,GA08,GA12,GA05,GA11,Y,Y
U,R,S,U,U,U,S,U,S,U,U,U,U,S,S,S,S,2,7,5,3,7,Assimilator,,20,20,N,T,,A,A,B,B,B,A,B,A,A,A,A,B,A,A,B,A,A,B,8,1,3,6,L,LB,B,Amiable,,,Y,Coming up with answers on the spot in front of a large crowd makes me anxious. ,B,A,A,A,B,B,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,B,A,A,B,A,A,B,7,4,7,4,11,0,5,6,3,3,11,-1,,1,slightly,slightly Reflective,,1,slightly,slightly Intuitive,,1,very strongly,very strongly Verbal,,1,slightly,slightly Global,,M,M,VM,S,VM,M,M,M,S,M,VM,M,,2.6,,Y,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Manag,Frust,Frust,Manag,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I think pursuing an undergraduate degree in engineering is the most versatile option available because of its broad scope and applications in many different fields. The engineering science program in particular prioritizes an interdisciplinary approach which I value highly because I wish to experience a wide variety of fields and topics before specializing eventually. As well, I enjoy math and science courses more than others in high school and growing up in a family of all engineers, I am familiar and comfortable with the life and work of an engineer. ",Being self-satisfied,Making my parents proud,Improving the world,,GA01,GA02,GA04,GA03,GA07,GA05,GA08,GA06,GA12,GA10,GA09,GA11,GA01,GA11,GA08,GA02,GA04,GA03,GA05,GA07,GA06,GA12,GA09,GA10,GA01,GA02,GA05,GA04,GA03,GA12,GA07,GA11,GA09,GA10,GA08,GA06,Y,Y
S,R,U,R,S,S,S,U,H,S,U,S,U,S,U,S,S,5,0,5,7,7,Diverger,,15,25,Y,T,,B,B,B,A,A,B,A,B,B,A,A,A,A,B,A,B,A,B,1,8,8,1,R,RA,A,Driver,,,N,,B,A,A,A,B,B,B,A,B,A,A,B,A,B,A,A,B,A,B,A,A,B,B,A,B,A,B,A,B,A,B,A,B,B,B,A,B,A,B,B,A,B,A,B,7,4,1,10,8,3,5,6,3,-9,5,-1,,1,slightly,slightly Reflective,,1,very strongly,very strongly Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,S,M,M,VM,NM,NM,NM,NM,S,VM,S,S,,3.3,,,,,Y,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Frust,Manag,Manag,Manag,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Manag,Manag,Manag,Manag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ever since a young age, engineering has deeply interested me and been one of my passions. Having grown up with my father as an engineer (and an EngSci graduate), engineering has always been presented  to me as an ideal career, being a combination of maths, sciences, innovation, and creativity. Engineering also allows for someone to easily go into entrepreneurship, something which I am very interested in. It also prepares people for solving complex problems. Additionally, it is no secret that engineers make a fair bit of money at the end of the day.",Discovering/learning new and interesting things,Helping people through the creation and advancement of technology,Being able to solve problems I am invested in,,GA09,GA04,GA02,GA11,GA01,GA03,GA06,GA05,GA07,GA12,GA08,GA10,GA10,GA06,GA08,GA05,GA09,GA07,GA11,GA03,GA02,GA04,GA01,GA12,GA01,GA09,GA11,GA02,GA03,GA04,GA05,GA07,GA06,GA08,GA12,GA10,Y,Y
S,U,S,U,U,R,U,U,U,S,U,U,S,U,U,S,S,3,6,5,3,6,Assimilator,,20,20,N,T,,B,A,B,A,A,A,B,A,A,A,A,A,B,B,A,B,A,A,6,3,6,3,L,LA,A,Analytical,,,N,,B,A,A,B,B,A,B,B,B,A,A,A,A,A,A,B,A,B,A,B,A,B,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,B,B,A,B,B,B,A,7,4,6,5,7,4,7,4,3,1,3,3,,1,slightly,slightly Reflective,,1,slightly,slightly Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,VM,NM,NAA,M,NM,VM,S,S,VM,VM,NM,VM,,4.3,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Frust,Comfy,Comfy,Manag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ever since I was a kid, I've wanted to be an inventor. Being able to make a significant difference for the better in even just the lives of a few through the optimization of current systems or devices, but preferably with the creation of something brand new is very appealing to me. With this in mind, I discerned that engineering science would be the best fit for me.",Chances of getting a job I enjoy,Opportunity to challenge myself in a field I enjoy,Opportunity to meet like-minded individuals,,GA08,GA02,GA01,GA05,GA10,GA11,GA09,GA04,GA06,GA07,GA12,GA03,GA08,GA02,GA01,GA05,GA11,GA07,GA06,GA04,GA12,GA03,GA09,GA10,GA01,GA05,GA02,GA04,GA09,GA10,GA11,GA12,GA03,GA08,GA06,GA07,Y,N
U,U,S,S,U,U,U,H,U,U,U,S,S,R,S,S,U,2,8,4,3,8,Assimilator,,25,25,Y,T,,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,8,1,8,1,L,LA,A,Analytical,,,N,,A,A,A,A,B,A,B,B,B,B,A,A,A,B,A,A,A,B,B,B,A,B,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,B,B,B,B,B,A,B,6,5,4,7,10,1,5,6,1,-3,9,-1,,1,slightly,slightly Reflective,,1,slightly,slightly Intuitive,,1,very strongly,very strongly Verbal,,1,slightly,slightly Global,,NM,M,M,NM,S,M,VM,S,S,NM,S,VM,,2.7,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I decided to pursue an undergraduate degree in Engineering over other viable paths and programs because I have always been interested in math and science and how they can be applied to the world around us. The reason why I chose Engineering over the Science programs was because I realized that an Engineering degree would give me a better chance at obtaining a decent job with decent wage. After conducting some research, I realized that science degrees will not help you in employment unless you have done some post-grad work or are looking for a job in academia. I specifically chose Engineering Science because I believed that it was the silver lining between both programs, Engineering and Science. Through it I hope to learn some of the theory behind the concepts engineers learn as well as have the opportunity to apply this knowledge in our world.","I want to become a more confident, well-rounded, and compassionate person that is able to help those around me. I want to become a person that I can be proud of.","I want to make enough money that I am able to live a life of relative comfort, pursue my goals, and to take care of my family.","I want to experience more of life (traveling, living in different cultures, exposing myself to new things)",,GA09,GA12,GA10,GA11,GA06,GA07,GA08,GA02,GA03,GA04,GA05,GA01,GA06,GA07,GA02,GA08,GA10,GA09,GA11,GA03,GA04,GA05,GA01,GA12,GA12,GA02,GA06,GA07,GA09,GA10,GA03,GA04,GA01,GA05,GA11,GA08,Y,Y
S,R,R,U,S,S,U,U,R,S,U,S,R,U,S,U,U,1,4,7,5,7,Converger,,17,17,N,T,,B,B,B,B,A,A,B,B,B,B,B,A,A,B,A,B,B,B,1,8,4,5,R,RB,B,Expressive,,,N,,B,A,A,B,A,B,B,A,B,A,A,B,A,B,B,A,A,A,A,A,A,A,A,B,B,A,A,B,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,B,9,2,8,3,6,5,5,6,7,5,1,-1,,1,moderately,moderately Reflective,,1,moderately,moderately Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,M,NM,S,VM,NM,VM,NM,NAA,M,VM,NAA,S,,4.3,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The main reason I chose an undergraduate degree in Engineering was to avoid limiting my future options. As I am extremely indecisive, I definitely didn't have a clear enough idea of what I want to do to attempt anything related to entrepreneurship, and even college seemed to be too restricting, both because less positions are open to college graduates than university graduates and because college would only have been 2 years rather than 4 (or 5 with PEY). Still on the same idea of indecision, I have always loved math and physics, but I am also interested in some of the social sciences that examine more of a human interaction and policy aspect, such as law or international relations. I had briefly considered engineering, but honestly thought it was nothing more than building bridges, buildings and cars and programming computers. These first options simply didn't interest me, and the last one is something I know absolutely nothing about, so I was worried about trying to build a career out of it. However, out of a lack of knowledge of what else to do with math and physics, I applied to engineering anyways. After this, I got to know more about the different aspects of it through the university's various applicant events and information sessions. This really helped make my decision, because that's where I realized that an engineering degree is actually applicable to so many different fields and careers due to the transferable nature of all the soft skills that are essential whether I decide to pursue law, a master's degree in engineering, a career in research, or really anything else. ","Succeeding at reaching personal goals I have set for myself, regardless of how that compares to the rest of the group (I am not a competitive person by nature, but enjoy pushing myself to both learn new skills and improve ones I learned a while ago)","Obtaining a job that will allow me to travel, whether for work itself or thanks to a decent salary and amount of vacation time",Making my family proud of everything I've managed to do with their support,,GA04,GA01,GA06,GA09,GA02,GA07,GA03,GA05,GA11,GA08,GA12,GA10,GA04,GA06,GA08,GA05,GA07,GA01,GA02,GA12,GA09,GA10,GA11,GA03,GA04,GA05,GA01,GA02,GA06,GA11,GA03,GA09,GA08,GA10,GA07,GA12,Y,Y
S,U,R,H,U,U,S,S,U,U,U,S,U,U,S,U,S,3,5,3,6,6,Diverger,,15,15,N,T,Chestnut Residence,B,B,B,A,B,A,B,B,B,A,B,B,B,B,A,B,A,B,2,7,3,6,R,RB,B,Expressive,,,N,,A,A,B,A,B,A,B,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,B,B,A,B,A,A,A,B,B,A,A,A,B,B,B,A,B,10,1,7,4,5,6,6,5,9,3,-1,1,,1,very strongly,very strongly Reflective,,1,slightly,slightly Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,VM,M,M,NM,M,VM,S,NM,VM,VM,VM,VM,,3.4,,,,,Y,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Manag,Manag,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am very interested in the world of design and how the design of everything around us effects everyone's daily lives. I also very much enjoyed learning and practising maths, sciences and quantitative courses. Engineering is a great fit with good employment opportunities fitting these areas of study. ",Pursuing a career incorporating design,Utilizing maths and science in my career,Making enough money to pursue my dreams,,GA04,GA06,GA07,GA01,GA02,GA03,GA08,GA09,GA10,GA12,GA05,GA11,GA11,GA08,GA01,GA05,GA02,GA03,GA06,GA04,GA07,GA09,GA10,GA12,GA01,GA05,GA04,GA08,GA09,GA12,GA11,GA02,GA03,GA07,GA06,GA10,Y,Y
S,U,S,S,U,U,S,U,S,U,U,S,S,S,U,U,U,1,7,6,3,7,Assimilator,,100,90,Y,Ma,,B,A,B,A,A,B,B,B,B,B,A,A,A,A,A,B,A,B,2,7,7,2,R,RA,A,Driver,,,N,,B,B,A,A,B,B,B,A,A,A,A,A,B,A,B,B,A,B,A,B,A,B,A,A,A,B,B,A,A,A,B,A,B,B,A,A,A,B,B,A,B,B,B,A,2,9,6,5,9,2,7,4,-7,1,7,3,,1,moderately,moderately Reflective,,1,slightly,slightly Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,VM,M,NM,S,M,VM,NM,S,M,NM,NM,VM,,3.6,,Y,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Frust,Comfy,Comfy,Comfy,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Frust,Frust,Manag,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I chose to pursue an undergraduate degree in Engineering because I'm interested in math and science. I'm really interested in learning about math and physics, and so I chose EngSci because I felt that I would be able to explore and broaden my interests in this program. In addition, I chose an engineering program, over a pure math/science program, because it is a better guarantee for employment (I've heard that you can easily find a job with an engineering degree, but a B.Sc. usually requires graduate school or professional studies in order to find a good job). Furthermore, I'm really interested in the theoretical aspect of math and physics, and so I chose EngSci because this program focuses heavily on theory, as opposed to just practical/Engineering-related skills (which I'm also interested in learning about as well). An engineering program would also allow me to gain many useful communication, professional, and practical skills, which will be useful regardless of whatever field I intend to pursue in the future (a science degree would focus less on these skills). Lastly, I chose EngSci over other engineering programs because of its flexibility and depth. ",Knowing and discovering things that few other people do,Getting a respected and meaningful job,Being able to make a positive difference in the world around me,,GA12,GA02,GA03,GA04,GA06,GA11,GA10,GA07,GA01,GA05,GA08,GA09,GA07,GA09,GA11,GA06,GA04,GA08,GA01,GA05,GA02,GA03,GA10,GA12,GA01,GA02,GA04,GA03,GA11,GA07,GA06,GA12,GA10,GA09,GA05,GA08,Y,Y
S,U,S,U,S,R,U,U,S,S,S,S,R,S,S,S,S,4,4,7,2,7,Converger,,15,15,N,T,,B,B,B,B,A,A,B,A,B,B,B,A,A,A,A,B,B,B,3,6,4,5,R,RB,B,Expressive,,,N,,B,A,A,A,B,B,A,B,B,B,A,A,A,B,B,A,A,B,B,A,B,B,B,A,B,B,B,B,B,B,B,A,B,A,B,A,A,A,B,A,B,A,A,B,6,5,2,9,10,1,1,10,1,-7,9,-9,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,very strongly,very strongly Verbal,,1,very strongly,very strongly Global,,VM,NM,S,M,NM,S,S,NM,VM,VM,M,VM,,3.9,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In all honesty, I was looking forward to entering a science program with a focus in physics and astronomy, but what really captivated my interest is the breadth offered by an engineering program. I view being an engineer as a professional who has a wealth of information in various topics and being able to apply their skills in versatile manners. And that's probably the biggest attraction for me. There is not one industry or branch of the workforce where an engineer is not required. This ability is like no other. ",My pursuit of knowledge ,Achieve my dreams and passions,Being able to take care of my family in the future,,GA02,GA07,GA12,GA01,GA06,GA09,GA03,GA04,GA08,GA10,GA11,GA05,GA06,GA07,GA08,GA11,GA10,GA02,GA03,GA04,GA01,GA05,GA09,GA12,GA03,GA04,GA05,GA02,GA01,GA12,GA09,GA06,GA07,GA08,GA11,GA10,Y,Y
U,U,S,U,S,U,U,S,U,U,U,U,S,S,S,S,U,2,9,5,1,9,Assimilator,,35,35,N,T,,B,B,B,A,B,A,B,A,A,A,B,A,A,A,A,B,A,B,5,4,5,4,L,LA,A,Analytical,,,Y,"Sometimes it takes a longer time for me to process what was said and to form arguments/points in my head. Also, speaking in front of so many people can get me nervous and I end up forgetting my points or my answer does not come out as I initially wanted to.",A,A,A,A,B,A,A,A,A,B,B,B,A,A,A,B,A,B,A,B,A,B,A,A,A,A,A,B,A,A,B,B,A,A,B,A,B,A,A,B,B,A,A,B,6,5,8,3,6,5,7,4,1,5,1,3,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,VM,S,NM,VM,S,VM,S,S,VM,VM,S,VM,,4.1,Y,Y,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frust,Manag,Frust,Frust,Frust,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I want to be able to apply the knowledge I have learned to help solve a real world problems people are facing today. I also believe that job prospectives are brighter in the engineering field. With engineering, I am given the opportunity to create and interact with other people in groups to work together toward a common goal. Coming into engineering, I want to challenge myself as well as continuously develop both my hard and soft skills along the way for both personal and professional development.",Always trying to create a better version of myself,New experiences,Making enough money,,GA12,GA06,GA07,GA02,GA03,GA04,GA05,GA01,GA11,GA08,GA09,GA10,GA05,GA01,GA06,GA07,GA02,GA03,GA04,GA10,GA09,GA11,GA08,GA12,GA01,GA05,GA02,GA04,GA03,GA12,GA07,GA06,GA11,GA09,GA08,GA10,Y,Y
